antibody_id,ensg_id,level_c,prest_id
62422,ENSG00000126215,nucleus,3730431
62423,ENSG00000129993,nucleus,3730491
62433,ENSG00000138443,nucleus,4030192
62449,ENSG00000137411,cytoplasm,3340053
62455,ENSG00000104859,nucleus,3880070
62476,ENSG00000071564,nucleus,4110073
62477,ENSG00000176619,nucleus,4040526
62483,ENSG00000114503,nucleus,4110258
62487,ENSG00000140470,nucleus,3830238
62506,ENSG00000171161,nucleus,3761239
62510,ENSG00000255423,nucleus,3990023
62512,ENSG00000196381,nucleus,3790582
62601,ENSG00000188677,cytoplasm,4080098
62605,ENSG00000174437,nucleus,4080079
62610,ENSG00000205307,nucleus,4090162
62645,ENSG00000183530,nucleus,3570041
62654,ENSG00000144579,nucleus,3940145
62661,ENSG00000100911,nucleus,4110129
62662,ENSG00000066697,nucleus,4110103
62683,ENSG00000153162,cytoplasm,4150049
62685,ENSG00000139793,nucleus,4110450
62696,ENSG00000149716,nucleus,4110500
62703,ENSG00000254726,cytoplasm,4130122
62706,ENSG00000135374,nucleus,4030160
62728,ENSG00000164093,nucleus,4120118
62739,ENSG00000162745,cytoplasm,4120111
62757,ENSG00000110697,cytoplasm,3730061
62766,ENSG00000150768,cytoplasm,4120006
62789,ENSG00000224470,nucleus,4130082
62805,ENSG00000204397,cytoplasm,4120392
62812,ENSG00000218891,nucleus,4090246
62824,ENSG00000054967,nucleus,3920033
62839,ENSG00000083307,nucleus,4160593
62852,ENSG00000159184,nucleus,4120077
62854,ENSG00000178307,cytoplasm,4120197
62878,ENSG00000178860,nucleus,3420415
62905,ENSG00000138036,cytoplasm,4090085
62919,ENSG00000161860,nucleus,3970020
62942,ENSG00000008196,nucleus,4060023
62958,ENSG00000142700,cytoplasm,3140760
62971,ENSG00000166411,cytoplasm,4000051
62997,ENSG00000273559,nucleus,2500108
63009,ENSG00000167105,nucleus,2850484
63029,ENSG00000130522,nucleus,3140616
63030,ENSG00000099817,nucleus,3210182
63050,ENSG00000125520,nucleus,3450013
63062,ENSG00000197375,cytoplasm,3450205
63065,ENSG00000244405,nucleus,3530003
63084,ENSG00000146729,cytoplasm,3140869
63104,ENSG00000118689,nucleus,3430120
63132,ENSG00000116990,nucleus,3690035
63142,ENSG00000100201,nucleus,3720390
63157,ENSG00000130844,nucleus,3730471
63183,ENSG00000169594,nucleus,3761075
63205,ENSG00000149929,nucleus,3760387
63230,ENSG00000134954,nucleus,360121
63236,ENSG00000187741,nucleus,2820075
63247,ENSG00000132002,nucleus,3270100
63294,ENSG00000164853,nucleus,3910028
63296,ENSG00000198840,cytoplasm,3790723
63324,ENSG00000147853,cytoplasm,3760253
63326,ENSG00000146285,nucleus,3830282
63338,ENSG00000197044,nucleus,3790558
63344,ENSG00000173418,cytoplasm,3310236
63353,ENSG00000132341,nucleus,3890588
63367,ENSG00000101052,cytoplasm,3300099
63461,ENSG00000173039,cytoplasm,4040189
63498,ENSG00000114923,nucleus,2920138
63527,ENSG00000172292,nucleus,3500321
63531,ENSG00000277258,nucleus,4110051
63533,ENSG00000052344,cytoplasm,4110028
63553,ENSG00000127554,cytoplasm,3890472
63554,ENSG00000164124,cytoplasm,3500200
63575,ENSG00000123836,nucleus,4110287
63577,ENSG00000105967,nucleus,4110149
63592,ENSG00000066827,nucleus,2510025
63597,ENSG00000136527,nucleus,3890911
63598,ENSG00000271601,cytoplasm,3940310
63608,ENSG00000175309,cytoplasm,4040373
63624,ENSG00000198816,nucleus,4050543
63636,ENSG00000085491,cytoplasm,4060045
63643,ENSG00000119760,nucleus,4110301
63647,ENSG00000270647,nucleus,4120162
