level_b,ensg_id,gene_name,uniprot_id
nucleoplasm,ENSG00000171045,TSNARE1,Q96NA8
cytosol,ENSG00000196277,GRM7,Q14831
nucleoplasm,ENSG00000198586,TLK1,Q9UKI8
cytosol,ENSG00000143570,SLC39A1,Q9NY26
nucleoplasm,ENSG00000138075,ABCG5,Q9H222
cytosol,ENSG00000276045,ORAI1,
cytosol,ENSG00000105983,LMBR1,Q8WVP7
nucleoplasm,ENSG00000182362,YBEY,P58557
cytosol,ENSG00000183864,TOB2,Q14106
nucleoplasm,ENSG00000056097,ZFR,Q96KR1
nucleoplasm,ENSG00000094916,CBX5,P45973
cytosol,ENSG00000168763,CNNM3,Q8NE01
nucleoplasm,ENSG00000165512,ZNF22,P17026
nucleoplasm,ENSG00000163104,SMARCAD1,Q9H4L7
nucleoplasm,ENSG00000166974,MAPRE2,Q15555
nucleoplasm,ENSG00000158079,PTPDC1,A2A3K4
cytosol,ENSG00000179134,SAMD4B,Q5PRF9
nucleoplasm,ENSG00000184307,ZDHHC23,Q8IYP9
nucleoplasm,ENSG00000160633,SAFB,Q15424
nucleoplasm,ENSG00000162391,FAM151A,Q8WW52
cytosol,ENSG00000134030,CTIF,O43310
cytosol,ENSG00000160255,ITGB2,P05107
nucleoplasm,ENSG00000114670,NEK11,Q8NG66
cytosol,ENSG00000031698,SARS,P49591
nucleoplasm,ENSG00000172977,KAT5,Q92993
nucleoplasm,ENSG00000174136,RGMB,Q6NW40
nucleoplasm,ENSG00000101189,MRGBP,Q9NV56
nucleoplasm,ENSG00000143614,GATAD2B,Q8WXI9
nucleoplasm,ENSG00000163946,FAM208A,Q9UK61
cytosol,ENSG00000091436,AC013461.1,Q9NYL2
nucleoplasm,ENSG00000120948,TARDBP,Q13148
nucleoplasm,ENSG00000138385,SSB,P05455
cytosol,ENSG00000185436,IFNLR1,Q8IU57
